LineId,Date,Time,Level,Node,Component,Id,Content,EventId,EventTemplate
"1,2015-07-29,""17:41:44,747"",INFO,QuorumPeer[myid=1]/0,0:0:0:0:0:0:0:2181:FastLeaderElection,774,Notification time out: 3200,E31,Notification time out: <*>"
"2,2015-07-29,""19:04:12,394"",INFO,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.11:45307,E40,Received connection request /<*>:<*>"
"3,2015-07-29,""19:04:29,071"",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread"
"4,2015-07-29,""19:04:29,079"",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue"
"5,2015-07-29,""19:13:17,524"",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread"
"6,2015-07-29,""19:13:24,282"",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,""Connection broken for id 188978561024, my id = 1, error ="",E11,""Connection broken for id <*>, my id = <*>, error ="""
"7,2015-07-29,""19:13:24,370"",INFO,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.13:57707,E40,Received connection request /<*>:<*>"
"8,2015-07-29,""19:13:27,721"",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,""Connection broken for id 188978561024, my id = 1, error ="",E11,""Connection broken for id <*>, my id = <*>, error ="""
"9,2015-07-29,""19:13:34,382"",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue"
"10,2015-07-29,""19:13:37,626"",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread"
"11,2015-07-29,""19:13:44,301"",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread"
